Ville,Hour
Kaboul,"Lundi, 13h06"
Pretoria,"Lundi, 10h36"
Alger,"Lundi, 09h36"
Berlin,"Lundi, 10h36 (heure d'été)"
Luanda,"Lundi, 09h36"
Ar Riyad,"Lundi, 11h36"
Buenos Aires,"Lundi, 05h36"
Erevan,"Lundi, 13h36 (heure d'été)"
Adelaide,"Lundi, 18h06 (heure d'hiver)"
Alice Springs,"Lundi, 18h06"
Perth,"Lundi, 16h36"
Brisbane,"Lundi, 18h36"
Hobart,"Lundi, 19h36 (heure d'été)"
Melbourne,"Lundi, 18h36 (heure d'hiver)"
Lord Howe,"Lundi, 19h06 (heure d'hiver)"
Sydney,"Lundi, 18h36 (heure d'hiver)"
Vienne,"Lundi, 10h36 (heure d'été)"
Bakou,"Lundi, 13h36 (heure d'été)"
Nassau,"Lundi, 04h36 (heure d'été)"
Dacca,"Lundi, 14h36"
Bruxelles,"Lundi, 10h36 (heure d'été)"
Rangoon,"Lundi, 15h06"
La Paz,"Lundi, 04h36"
Rio de Janeiro,"Lundi, 05h36 (heure d'hiver)"
Sofia,"Lundi, 11h36 (heure d'été)"
Ouagadougou,"Lundi, 08h36"
Phnom Penh,"Lundi, 15h36"
Yaounde,"Lundi, 09h36"
Calgary,"Lundi, 02h36 (heure d'été)"
Vancouver,"Lundi, 01h36 (heure d'été)"
Winnipeg,"Lundi, 03h36 (heure d'été)"
Halifax,"Lundi, 05h36 (heure d'été)"
Toronto,"Lundi, 04h36 (heure d'été)"
Montréal,"Lundi, 04h36 (heure d'été)"
Saint John's,"Lundi, 06h06 (heure d'été)"
Santiago,"Lundi, 05h36 (heure d'été)"
Pékin,"Lundi, 16h36"
Nicosie,"Lundi, 10h36 (heure d'hiver)"
Bogota,"Lundi, 03h36"
Brazzaville,"Lundi, 09h36"
Séoul,"Lundi, 17h36"
Abidjan,"Lundi, 08h36"
La Havane,"Lundi, 03h36 (heure d'hiver)"
Copenhague,"Lundi, 10h36 (heure d'été)"
Djibouti,"Lundi, 11h36"
Le Caire,"Lundi, 10h36 (heure d'hiver)"
Dublin,"Lundi, 09h36 (heure d'été)"
Abu Dhabi,"Lundi, 12h36"
Madrid,"Lundi, 10h36 (heure d'été)"
Los Angeles,"Lundi, 01h36 (heure d'été)"
San Francisco,"Lundi, 01h36 (heure d'été)"
Miami,"Lundi, 04h36 (heure d'été)"
Atlanta,"Lundi, 04h36 (heure d'été)"
Las Vegas,"Lundi, 01h36 (heure d'été)"
New York,"Lundi, 04h36 (heure d'été)"
Dallas,"Lundi, 03h36 (heure d'été)"
Salt Lake City,"Lundi, 02h36 (heure d'été)"
Seattle,"Lundi, 01h36 (heure d'été)"
Washington D.C.,"Lundi, 04h36 (heure d'été)"
Addis Ababa,"Lundi, 11h36"
Helsinki,"Lundi, 11h36 (heure d'été)"
Paris,"Lundi, 10h36 (heure d'été)"
Libreville,"Lundi, 09h36"
Athènes,"Lundi, 11h36 (heure d'été)"
Basse-Terre,"Lundi, 04h36"
Cayenne,"Lundi, 05h36"
Port-au-Prince,"Lundi, 03h36 (heure d'hiver)"
Victoria,"Lundi, 16h36"
Budapest,"Lundi, 10h36 (heure d'été)"
Ile de Pâques,"Lundi, 03h36 (heure d'été)"
Las Palmas,"Lundi, 09h36 (heure d'été)"
Bombay,"Lundi, 14h06"
Djakarta,"Lundi, 15h36"
Bagdad,"Lundi, 11h36 (heure d'hiver)"
Téhéran,"Lundi, 12h06 (heure d'hiver)"
Reykjavik,"Lundi, 08h36"
Jérusalem,"Lundi, 10h36 (heure d'hiver)"
Rome,"Lundi, 10h36 (heure d'été)"
Kingston,"Lundi, 03h36"
Tokyo,"Lundi, 17h36"
Nairobi,"Lundi, 11h36"
Beyrouth,"Lundi, 11h36 (heure d'été)"
Tripoli,"Lundi, 09h36 (heure d'hiver)"
Luxembourg,"Lundi, 10h36 (heure d'été)"
Marrakech,"Lundi, 08h36"
Fort-de-France,"Lundi, 04h36"
Mexico City,"Lundi, 03h36 (heure d'été)"
Katmandu,"Lundi, 14h21"
Oslo,"Lundi, 10h36 (heure d'été)"
Nouméa,"Lundi, 19h36"
Auckland,"Lundi, 21h36 (heure d'été)"
Asuncion,"Lundi, 04h36"
Amsterdam,"Lundi, 10h36 (heure d'été)"
Lima,"Lundi, 03h36"
Pôle Nord,"Lundi, 20h36 (heure d'hiver)"
Varsovie,"Lundi, 10h36 (heure d'été)"
Papeete (Tahiti),"Dimanche, 22h36"
Lisbonne,"Lundi, 09h36 (heure d'été)"
Prague,"Lundi, 10h36 (heure d'été)"
Saint-Denis,"Lundi, 12h36"
Bucarest,"Lundi, 11h36 (heure d'été)"
Londres,"Lundi, 09h36 (heure d'été)"
Moscou,"Lundi, 12h36 (heure d'été)"
Vladivostok,"Lundi, 19h36 (heure d'été)"
Miquelon,"Lundi, 06h36 (heure d'été)"
Bratislava,"Lundi, 10h36 (heure d'été)"
Khartoum,"Lundi, 10h36"
Colombo,"Lundi, 14h36"
Stockholm,"Lundi, 10h36 (heure d'été)"
Berne,"Lundi, 10h36 (heure d'été)"
Taipei,"Lundi, 16h36"
Bangkok,"Lundi, 15h36"
Lhasa,"Lundi, 16h36"
Tunis,"Lundi, 10h36"
Ankara,"Lundi, 11h36 (heure d'été)"
Caracas,"Lundi, 04h36"
Hanoi,"Lundi, 15h36"
Sanaa,"Lundi, 11h36"
